sample	value
2553	0.1193
2554	0.06817
2555	0.06105
2556	0.04615
2557	0.119
2558	0.0519
2559	0.08279
2560	0.08785
2561	0.01971
2562	0.03947
2563	0.08729
2564	0.05613
2565	0.1407
2566	0.03337
2567	0.1015
2568	0.1397
2569	0.07145
2570	0.1021
2571	0.06258
2572	0.04422
2573	0.102
2574	0.03062
2575	0.03838
2576	0.1062
2577	0.003694
2578	0.06475
2579	0.1364
2580	0.08569
2581	0.07741
2582	0.09251
2583	0.1155
2584	0.0782
2585	0.0506
2586	0.07507
2587	0.0283
2588	0.04056
2589	0.05769
2590	0.1619
2591	0.1162
2592	0.02185
2593	0.0782
2594	0.107
2595	0.08875
2596	0.1039
2597	0.0707
2598	0.09345
2599	0.07879
2600	0.06829
2601	0.1197
2602	0.07996
2603	0.02091
2604	0.07504
2605	0.045
2606	0.1287
2607	0.1113
2608	0.08422
2609	0.09474
2610	0.07222
2611	0.04338
2612	0.08383
2613	0.1123
2614	0.1284
2615	0.1259
2616	0.04821
2617	0.04256
2618	0.05773
2619	0.06269
2620	0.09923
2621	0.0944
2622	0.1473
2623	0.147
2624	0.06079
2625	0.02346
2626	0.03166
2627	0.1068
2628	0.09149
2629	0.006505
2630	0.1019
2631	0.08042
2632	0.09171
2633	0.0839
2634	0.07694
2635	0.07754
2636	0.04948
2637	0.1489
2638	0.045
2639	0.1195
2640	0.06396
2641	0.1028
2642	0.01537
2643	0.04377
2644	0.1052
2645	0.08614
2646	0.02025
2647	-0.01053
2648	0.09855
2649	0.1129
2650	0.02997
2651	0.06647
2652	0.03722
2653	0.07679
2654	0.04788
2655	0.1434
2656	0.08869
2657	0.07075
2658	0.09468
2659	0.01251
2660	0.1021
2661	0.09353
2662	0.09733
2663	0.05301
2664	0.1302
2665	0.1084
2666	0.1034
2667	0.02038
2668	0.1143
2669	0.02584
2670	0.1389
2671	0.09728
2672	0.1101
2673	0.07504
2674	0.07295
2675	0.06581
2676	0.04249
2677	0.03323
2678	0.05106
2679	0.04023
2680	0.03938
2681	0.03968
2682	0.09311
2683	0.03343
2684	0.06298
2685	0.09764
2686	0.04652
2687	0.07527
2688	0.05964
2689	0.02245
2690	0.1023
2691	0.1087
2692	0.111
2693	0.06093
2694	0.09473
2695	0.07011
2696	0.04261
2697	0.07145
2698	0.06855
2699	0.03603
2700	0.08068
2701	0.06248
2702	0.007982
2703	0.07437
2704	0.1491
2705	0.1176
2706	0.105
2707	0.06789
2708	0.06741
2709	0.08976
2710	0.04396
2711	0.08908
2712	0.02661
2713	0.1037
2714	0.08601
2715	0.08527
2716	0.01796
2717	0.1036
2718	0.07146
2719	0.07252
2720	0.06773
2721	0.1139
2722	0.07541
2723	0.0125
2724	0.03673
2725	0.1112
2726	0.0426
2727	0.025
2728	0.01355
2729	0.1008
2730	0.119
2731	0.08851
2732	0.09228
2733	0.01679
2734	0.05784
2735	0.08131
2736	0.1068
2737	0.03354
2738	0.09088
2739	0.1323
2740	0.08113
2741	0.04938
2742	0.02302
2743	0.06027
2744	0.02351
2745	0.1201
