ICO;FIRMA75;DAT_OD;POC_MESICU;AKTIVACELK;KP;VLASTNIJM;CIZIZDROJE;KZ;TZPZ;V;TZPVVAS;OHANIM;PROVHOSPV;NU;HOSPVZUO;
"I» firmy";"N·zev firmy";"ZaË·tek obdobÌ";"PoËet mÏsÌc˘ ˙ËetnÌ z·vÏrky";"Aktiva celkem - tis. KË";"Kr·tkodobÈ pohled·vky - tis. KË";"VlastnÌ kapit·l - tis. KË";"CizÌ zdroje - tis. KË";"Kr·tkodobÈ z·vazky - tis. KË";"Trûby za prodej zboûÌ - tis. KË";"V˝kony - tis. KË";"Trûby za prodej vlastnÌch v˝robk˘ a sluûeb - tis. KË";"Odpisy dlouhodobÈho nehmotnÈho a hmotnÈho majetku - tis. KË";"ProvoznÌ v˝sledek hospoda¯enÌ - tis. KË";"N·kladovÈ ˙roky - tis. KË";"V˝sledek hospoda¯enÌ za ˙ËetnÌ obdobÌ (+/-) - tis. KË";
"46964321";"Alba - Metal, s.r.o.";20100101;"12";85544;27708;27613;57666;13962;17;87632;90893;2111;3036;619;1048;
"46964321";"Alba - Metal, s.r.o.";20090101;"12";75461;21830;26565;48782;9535;299;84043;81121;2415;2954;1214;1004;
"46964321";"Alba - Metal, s.r.o.";20080101;"12";95763;32100;25561;70054;26787;2228;112408;112839;2777;2428;1414;590;
"62909134";"Alba CR, s.r.o.";20120301;"12";104946;25494;87241;16845;13459;4439;116641;110374;4907;812;13;510;
"62909134";"Alba CR, s.r.o.";20110301;"12";103611;18630;86731;13786;10652;108040;78564;2132;4401;1681;19;1391;
"62909134";"Alba CR, s.r.o.";20100101;"14";102645;19338;85340;16694;12840;123903;89828;1458;5090;5144;9;4184;
"62909134";"Alba CR, s.r.o.";20090101;"12";109898;28182;81156;28276;21596;118807;101113;22532;4151;10879;31;8881;
"62909134";"Alba CR, s.r.o.";20080101;"12";114739;31347;72273;41118;28839;157881;109605;1057;4450;10123;277;7048;
"25932853";"Alema Lanökroun, a.s.";20130101;"12";148839;26924;102339;46500;20954;31;172664;164362;8093;19350;581;16134;
"25932853";"Alema Lanökroun, a.s.";20120101;"12";132080;20977;89244;42835;13561;67;164932;160645;7415;16110;913;13482;
"25932853";"Alema Lanökroun, a.s.";20110101;"12";125286;30329;78614;46672;14745;134;147438;149036;5969;15887;1042;13708;
"25932853";"Alema Lanökroun, a.s.";20100101;"12";121717;26981;66914;54803;17570;17;132993;131296;6166;4810;1043;2147;
"25932853";"Alema Lanökroun, a.s.";20090101;"12";115246;22392;66216;48586;14647;151;115421;113393;6803;3141;1014;1626;
"25932853";"Alema Lanökroun, a.s.";20080101;"12";116981;17507;68242;48163;11557;995;172035;172586;6321;15254;1609;11510;
"27736792";"Alexandris  druûstvo";20130101;"12";4;1;-1317;1321;1;;6;6;;-7;;-9;
"27736792";"Alexandris  druûstvo";20120101;"12";300;232;-1309;1609;294;;1630;1630;;-1130;;-1225;
"27736792";"Alexandris  druûstvo";20110101;"12";175;67;-84;259;159;;1523;1523;;-178;;-184;
"27736792";"Alexandris  druûstvo";20100101;"12";177;108;100;77;77;;1277;1277;21;34;;22;
"27736792";"Alexandris  druûstvo";20090101;"12";152;31;79;73;73;;801;801;7;19;;9;
"27736792";"Alexandris  druûstvo";20080101;"12";78;;70;8;8;;602;602;;22;;13;
"25024639";"Almond, s.r.o.";20120101;"12";10805;1459;-10433;21230;20230;;6663;6696;1003;-6808;95;-7219;
"25024639";"Almond, s.r.o.";20110101;"12";15774;4054;-3214;18980;18650;;22893;22327;1598;-3503;128;-3766;
"25024639";"Almond, s.r.o.";20100101;"12";23167;11304;552;22615;21401;156;49206;49073;1212;628;81;159;
"25024639";"Almond, s.r.o.";20090101;"12";27666;8446;393;27259;26161;;84055;82619;747;12165;191;14198;
