"year";"ICO";"AKTIVACELK";"ebit";"ebitda";"financial.expanses";"sales"
2009;25840096;1551;104;104;36;1905
2009;47470011;594442;33662.4;57462.4;4044;619220
2009;60108436;16340;860.8;1050.8;8;10805
2009;25945017;242372;24037.4;36788.4;171;306440
2009;26364930;8973;19.7626399202527;178.762639920253;53.7626399202527;3410
2009;26364522;16442;809.6;2946.6;256;8062
2009;64789225;171608;6726.2;24058.2;4447;381382
2009;25022229;53858;1827.8;3431.8;39;78927
2009;26229650;32101;3421;4048;245;96911
2009;46966153;105744;1370.6;3678.6;521;133620
2009;25838113;22299;281;973;269;6445
2009;45192171;49485;132;2178;593;40876
2009;25382314;13717;368.8;368.8;312;13944
2009;27769887;2555;-564.464928612073;-272.464928612073;38.5350713879268;9395
2009;64087646;1575;30.7915866443957;40.7915866443957;7.59158664439572;2267
2009;60778997;75461;-1199;-39;255;85676
2009;25932322;6712;754.627289915949;956.627289915949;-4.57271008405122;8800
2009;26768747;1254;-16;-16;1;1136
2009;26807947;24949;1101.2;1101.2;318;91214
2009;10559655;78026;8650.55612711204;15174.556127112;260.15612711204;69986
2009;25242504;1218;-206.870078118537;106.129921881463;23.129921881463;2545
2009;48155853;6851;256.640046709023;951.640046709023;264.640046709023;16294
2009;26756102;8901;3094.32329464869;3245.32329464869;189.523294648686;22398
2009;26496135;16072;-233.93871338794;689.06128661206;85.0612866120596;26394
2009;25568345;133306;3202;11825;370;188539
2009;27125149;188272;7149;26483;1713;172094
2009;25206745;26524;1833.8;2910.8;801;27465
2009;25870599;154421;2219.2;15779.2;1460;319949
2009;27491935;1655;101.8;190.8;17;7517
2009;13606115;2055;185;441;69;4719
2009;47153822;36393;4485.4;5925.4;647;112496
2009;27825396;287451;3301;3685;1289;36924
2009;26030110;30795;80;1627;361;26469
2009;25217194;5324;-1494;262;118;7015
2009;116700;86631;-1817.81079668541;862.189203314592;571.189203314592;28458
2009;27760014;4009;208;587;8;14040
2009;30431;20931;148.8;914.8;88;24533
2009;25980751;57229;6861.27146610338;7459.27146610338;617.27146610338;117314
2009;28313721;2563;518.8;598.8;6;16949
2009;26912791;15700;324.610592519373;1001.61059251937;211.010592519373;17038
2009;62503758;148555;6158;10834;150;190321
2009;49192094;58722;2871.37095374136;4498.37095374136;166.570953741361;33738
2009;25435655;71663;-811.094502724387;2849.90549727561;2270.90549727561;122601
2009;26786354;13360;629;740;49;10472
2009;26322242;3625;3666.4;4199.4;8;8469
2009;26221454;219056;10704.8;14549.8;3088;140758
2009;25138341;20344;-2449;-1843;524;45481
2009;27329798;697;230.798671575431;232.798671575431;1.1986715754309;888
2009;27497097;251;29.0797701314624;60.0797701314624;28.2797701314624;40
2009;63216281;238475;18810.6;26893.6;1041;302884
2009;64356043;386946;-9550;18998;1753;879777
2009;26120534;2321;584.4;584.4;2;19283
2009;27546098;36002;155.6;1036.6;98;26597
2009;26960451;1196;-7;-7;11;1531
2009;28285948;3049;266.2;363.2;103;7546
2009;25347748;164381;4307.4;16131.4;941;77693
2009;46964321;75461;2017.2;4432.2;1214;81420
2009;41057155;60192;5413.6;6562.6;8;77316
2009;29050;65828;-24153;-21911;121;48298
2009;25273396;69184;2261.6;4997.6;1012;66083
2009;25383973;45487;912;3091;752;32286
2009;47468424;219544;2934;23058;3132;78252
2009;64830942;181391;12952;25432;304;425699
2009;26022494;32043;-5244;-3847;594;82504
2009;25390236;22227;902.6;6044.6;325;37054
2009;27978117;514;-943.404920657335;-759.404920657335;64.5950793426653;200
2009;25999401;9952;671.6;877.6;214;21993
2009;27740773;19449;698.6;2406.6;13;36455
2009;27660702;3653;-4955;-4815;245;37986
2009;44567693;73976;1364;3432;2206;171672
2009;45792950;86884;2526;3956;210;117366
2009;26400987;174;-1;-1;0;244
2009;49971034;245679;14226.6;45117.6;4909;385576
2009;18503527;465098;44668.8;56764.8;192;452476
2009;46509755;519045;8266.6;50008.6;7021;500325
2009;25949896;109251;-13517;-3776;6;113190
2009;26391325;33908;2343.8;4788.8;907;8201
2009;25815491;32069;-6900;-5459;20;59849
2009;48153745;42751;7898.67714306246;8279.67714306246;351.477143062461;70211
2009;26334399;3049;-857.231538915965;-824.231538915965;148.768461084035;6300
2009;46975764;75879;2430.4;6313.4;756;193446
2009;25583824;54942;901;1678;25;18463
2009;27134369;28697;379.2;303.2;332;138
2009;49450981;650876;112784.2;131206.2;1713;684747
2009;60704641;1919;-955;-955;1;4600
2009;27489060;3280;628.8;1548.8;48;16299
2009;28676858;627;-211.544862935348;7.45513706465184;30.4551370646518;1574
2009;26320657;2121;-2010;-1801;115;29569
2009;25042548;16567;679.6;978.6;334;34016
2009;40233324;32030;1744.2;2725.2;397;114265
2009;28268164;2875;776.453923064647;776.453923064647;71.6539230646473;8940
2009;62909134;109898;7135.8;11286.8;31;141339
2009;44004681;71041;-5425;-2548;838;47693
2009;63491796;177380;8705.4;13073.4;1287;256845
2009;28175247;448176;21619.2;26034.2;20168;456266
2009;14613182;568895;-59728;-28093;7897;470464
2009;25932853;115246;2314.8;9117.8;1014;113544
2009;25876996;17710;-28;918;110;14799
2009;61775843;9011;314.149599413759;314.149599413759;306.149599413759;6787
2009;46343733;139131;23449.4;27127.4;779;247579
2009;25971689;58189;1980.8;4359.8;1468;75520
2009;25917293;33353;4189.33574304525;4426.33574304525;118.135743045246;11398
2009;25917536;32358;-53;955;132;16857
2009;25024639;27666;11549.4;12296.4;191;82619
2009;25274635;17045;379.4;1715.4;125;10527
2009;25313363;15366;1808.4;3086.4;146;26605
2009;62515314;6831;-282;55;12;15422
2009;27540243;8525;192;762;423;6484
